,name,website,phone,googlemaps_link,category,zone
28,Artecolor – Gráfica textil digital [Sucursal Córdoba] | ArtecolorVisual,artecolorvisual.com,03514860060,"https://www.google.com/maps/place/Artecolor+%E2%80%93+Gr%C3%A1fica+textil+digital+%5BSucursal+C%C3%B3rdoba%5D+%7C+ArtecolorVisual/@-31.4200833,-64.4771672,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+centro!6e6!3m6!1s0x9432a2a6dd337abf:0x787f6986af0ebeee!8m2!3d-31.4147985!4d-64.1620394!15sCj5FbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIGNlbnRyb1pAIj5lbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIHByb3ZpbmNpYSBjb3Jkb2JhIGNlbnRyb5IBEGdyYXBoaWNfZGVzaWduZXKaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkhkVW8zUTFOQkVBReABAA!16s%2Fg%2F1q62cz1v9?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba centro
76,CuttStudio | Estampa tu Ropa,local-online.wixsite.com,0351156741807,"https://www.google.com/maps/place/CuttStudio+%7C+Estampa+tu+Ropa/@-31.4217676,-64.4805574,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+Alto+Alberdi!6e6!3m6!1s0x943299ed56ae8431:0xa5d73442becb0529!8m2!3d-31.4022922!4d-64.2164499!15sCkRFbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIEFsdG8gQWxiZXJkaZIBDG1hbnVmYWN0dXJlcuABAA!16s%2Fg%2F11kvsg2k34?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba Alto Alberdi
77,IMPRIMA Gigantografias y Sublimacion,imprima.com.ar,0351155202727,"https://www.google.com/maps/place/IMPRIMA+Gigantografias+y+Sublimacion/@-31.4217676,-64.4805574,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+Alto+Alberdi!6e6!3m6!1s0x943299233a366505:0xdc22a865891d7984!8m2!3d-31.3689471!4d-64.221382!15sCkRFbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIEFsdG8gQWxiZXJkaVpGIkRlbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIHByb3ZpbmNpYSBjb3Jkb2JhIGFsdG8gYWxiZXJkaZIBCnByaW50X3Nob3DgAQA!16s%2Fg%2F11h6rqjpq3?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba Alto Alberdi
112,La Estamperia Textil,laestamperiatextil.com,03515332629,"https://www.google.com/maps/place/La+Estamperia+Textil/@-31.3611233,-64.6337223,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+Villa+Cabrera!6e6!3m6!1s0x942d634c423112a7:0x9717cae038eb9c7d!8m2!3d-31.3611233!4d-64.3453312!15sCkVFbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIFZpbGxhIENhYnJlcmGSAQxtYW51ZmFjdHVyZXLgAQA!16s%2Fg%2F11nsb0v0rd?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba Villa Cabrera
135,Mundo Deja Vu,cruzialseo.com,03514558322,"https://www.google.com/maps/place/Mundo+Deja+Vu/@-31.412342,-64.4675863,11z/data=!4m11!1m3!2m2!1sEmpresa+de+sublimacion+y+estampado+en+Provincia+Cordoba+Villa+Cabrera!6e6!3m6!1s0x94329cf75b10cb89:0x68bcdc4d06a6b3fe!8m2!3d-31.300027!4d-64.277362!15sCkVFbXByZXNhIGRlIHN1YmxpbWFjaW9uIHkgZXN0YW1wYWRvIGVuIFByb3ZpbmNpYSBDb3Jkb2JhIFZpbGxhIENhYnJlcmGSARBncmFwaGljX2Rlc2lnbmVy4AEA!16s%2Fg%2F11bw5yy15r?entry=ttu",Empresa de sublimacion y estampado,Provincia Cordoba Villa Cabrera
152,GAMASI | Servicios de limpieza,gamasisrl.com.ar,03515287730,"https://www.google.com/maps/place/GAMASI+%7C+Servicios+de+limpieza/@-31.3773428,-64.4937553,11z/data=!4m10!1m2!2m1!1sLimpieza+del+hogar+en+Provincia+Cordoba+centro!3m6!1s0x943299c87b8a90ab:0x23e629607748f673!8m2!3d-31.4087319!4d-64.1732985!15sCi5MaW1waWV6YSBkZWwgaG9nYXIgZW4gUHJvdmluY2lhIENvcmRvYmEgY2VudHJvWjAiLmxpbXBpZXphIGRlbCBob2dhciBlbiBwcm92aW5jaWEgY29yZG9iYSBjZW50cm-SARJqYW5pdG9yaWFsX3NlcnZpY2WaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUm9NMDh6ZFV0QkVBReABAA!16s%2Fg%2F11ff52d4rz?entry=ttu",Limpieza del hogar,Provincia Cordoba centro
153,Aroma de Hogar - Artículos de limpieza por Mayor y Menor,aromadehogar.com.ar,03513001606,"https://www.google.com/maps/place/Aroma+de+Hogar+-+Art%C3%ADculos+de+limpieza+por+Mayor+y+Menor/@-31.3773428,-64.4937553,11z/data=!4m10!1m2!2m1!1sLimpieza+del+hogar+en+Provincia+Cordoba+centro!3m6!1s0x9432a3c0e72408e3:0xa596c9106d321a53!8m2!3d-31.4307892!4d-64.193478!15sCi5MaW1waWV6YSBkZWwgaG9nYXIgZW4gUHJvdmluY2lhIENvcmRvYmEgY2VudHJvkgEaY2xlYW5pbmdfcHJvZHVjdHNfc3VwcGxpZXLgAQA!16s%2Fg%2F11fqsthpll?entry=ttu",Limpieza del hogar,Provincia Cordoba centro
154,Albiñana Limpieza,m.facebook.com,03514458367,"https://www.google.com/maps/place/Albi%C3%B1ana+Limpieza/@-31.3773428,-64.4937553,11z/data=!4m10!1m2!2m1!1sLimpieza+del+hogar+en+Provincia+Cordoba+centro!3m6!1s0x9432a2b6ec698a05:0x35c66137c1359e1a!8m2!3d-31.4239435!4d-64.1554715!15sCi5MaW1waWV6YSBkZWwgaG9nYXIgZW4gUHJvdmluY2lhIENvcmRvYmEgY2VudHJvWjAiLmxpbXBpZXphIGRlbCBob2dhciBlbiBwcm92aW5jaWEgY29yZG9iYSBjZW50cm-SARBob21lX2dvb2RzX3N0b3Jl4AEA!16s%2Fg%2F11ckqrt1hn?entry=ttu",Limpieza del hogar,Provincia Cordoba centro
155,Limpro Servicios,limproservicios.com.ar,03514290070,"https://www.google.com/maps/place/Limpro+Servicios/@-31.3773428,-64.4937553,11z/data=!4m10!1m2!2m1!1sLimpieza+del+hogar+en+Provincia+Cordoba+centro!3m6!1s0x9432a29bd7127037:0x3d3b5add7dca9996!8m2!3d-31.4184187!4d-64.1777621!15sCi5MaW1waWV6YSBkZWwgaG9nYXIgZW4gUHJvdmluY2lhIENvcmRvYmEgY2VudHJvkgEQY2xlYW5pbmdfc2VydmljZeABAA!16s%2Fg%2F11ckpybrdr?entry=ttu",Limpieza del hogar,Provincia Cordoba centro
157,El mundo de la limpieza,mitiendanube.com,03514218381,"https://www.google.com/maps/place/El+mundo+de+la+limpieza/@-31.3773428,-64.4937553,11z/data=!4m10!1m2!2m1!1sLimpieza+del+hogar+en+Provincia+Cordoba+centro!3m6!1s0x9432a31d355bacad:0xc6bcc7fbcd92292d!8m2!3d-31.4112789!4d-64.1565684!15sCi5MaW1waWV6YSBkZWwgaG9nYXIgZW4gUHJvdmluY2lhIENvcmRvYmEgY2VudHJvWjAiLmxpbXBpZXphIGRlbCBob2dhciBlbiBwcm92aW5jaWEgY29yZG9iYSBjZW50cm-SAQVzdG9yZeABAA!16s%2Fg%2F11k0pfmzsl?entry=ttu",Limpieza del hogar,Provincia Cordoba centro
161,Master Service,masterservicegroup.com.ar,03512425619,"https://www.google.com/maps/place/Master+Service/@-31.3773428,-64.4937553,11z/data=!4m10!1m2!2m1!1sLimpieza+del+hogar+en+Provincia+Cordoba+centro!3m6!1s0x94329ee1f6c63ee3:0x2fe4c0fde75e3cd!8m2!3d-31.3875944!4d-64.2678393!15sCi5MaW1waWV6YSBkZWwgaG9nYXIgZW4gUHJvdmluY2lhIENvcmRvYmEgY2VudHJvWjAiLmxpbXBpZXphIGRlbCBob2dhciBlbiBwcm92aW5jaWEgY29yZG9iYSBjZW50cm-SARt1cGhvbHN0ZXJ5X2NsZWFuaW5nX3NlcnZpY2WaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUkVhMkZ1UXpsQlJSQULgAQA!16s%2Fg%2F1xb2fnyq?entry=ttu",Limpieza del hogar,Provincia Cordoba centro
162,Kazaró - Servicio de Limpieza,kazaro.com.ar,03514810575,"https://www.google.com/maps/place/Kazar%C3%B3+-+Servicio+de+Limpieza/@-31.3875944,-64.5562304,11z/data=!4m10!1m2!2m1!1sLimpieza+del+hogar+en+Provincia+Cordoba+centro!3m6!1s0x94329930b2381eaf:0xdf5a17c763f607e7!8m2!3d-31.3619692!4d-64.2370704!15sCi5MaW1waWV6YSBkZWwgaG9nYXIgZW4gUHJvdmluY2lhIENvcmRvYmEgY2VudHJvWjAiLmxpbXBpZXphIGRlbCBob2dhciBlbiBwcm92aW5jaWEgY29yZG9iYSBjZW50cm-SARJqYW5pdG9yaWFsX3NlcnZpY2WaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlhjM1ZNVld4UlJSQULgAQA!16s%2Fg%2F11fn0sg852?entry=ttu",Limpieza del hogar,Provincia Cordoba centro
165,Corsacor Limpieza y Mantenimiento,corsacor.com,03518666656,"https://www.google.com/maps/place/Corsacor+Limpieza+y+Mantenimiento/@-31.3505201,-64.4389634,11z/data=!4m10!1m2!2m1!1sLimpieza+del+hogar+en+Provincia+Cordoba+centro!3m6!1s0x9432a29de7a8053f:0x20a5eac5c0fa1aa4!8m2!3d-31.4126749!4d-64.1731698!15sCi5MaW1waWV6YSBkZWwgaG9nYXIgZW4gUHJvdmluY2lhIENvcmRvYmEgY2VudHJvWjAiLmxpbXBpZXphIGRlbCBob2dhciBlbiBwcm92aW5jaWEgY29yZG9iYSBjZW50cm-SAQhjbGVhbmVyc5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VORGRXRmhZM1JSUlJBQuABAA!16s%2Fg%2F11h40zd9t7?entry=ttu",Limpieza del hogar,Provincia Cordoba centro
166,Aroma de Hogar - Articulo de limpieza y aromatización,aromadehogar.com.ar,03513001606,"https://www.google.com/maps/place/Aroma+de+Hogar+-+Articulo+de+limpieza+y+aromatizaci%C3%B3n/@-31.3505201,-64.4389634,11z/data=!4m10!1m2!2m1!1sLimpieza+del+hogar+en+Provincia+Cordoba+centro!3m6!1s0x9432a3beaed99051:0x69245dacdf25b7a0!8m2!3d-31.4279412!4d-64.1906366!15sCi5MaW1waWV6YSBkZWwgaG9nYXIgZW4gUHJvdmluY2lhIENvcmRvYmEgY2VudHJvWjAiLmxpbXBpZXphIGRlbCBob2dhciBlbiBwcm92aW5jaWEgY29yZG9iYSBjZW50cm-SARpjbGVhbmluZ19wcm9kdWN0c19zdXBwbGllcpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOb2MzQkhiMk5CRUFF4AEA!16s%2Fg%2F11ts19fl8n?entry=ttu",Limpieza del hogar,Provincia Cordoba centro
171,Igapó - Limpieza Profesional,igapo.com.ar,03516179071,"https://www.google.com/maps/place/Igap%C3%B3+-+Limpieza+Profesional/@-31.3505201,-64.4389634,11z/data=!4m10!1m2!2m1!1sLimpieza+del+hogar+en+Provincia+Cordoba+centro!3m6!1s0x943299f3620f68f5:0x4c2baa470d6a8b2d!8m2!3d-31.3950831!4d-64.2346503!15sCi5MaW1waWV6YSBkZWwgaG9nYXIgZW4gUHJvdmluY2lhIENvcmRvYmEgY2VudHJvkgEaY2xlYW5pbmdfcHJvZHVjdHNfc3VwcGxpZXLgAQA!16s%2Fg%2F11hm7bqqdd?entry=ttu",Limpieza del hogar,Provincia Cordoba centro
172,"Onda Verde - Fumigaciones, Desinfecciones, Limpieza de Tanques de Agua y Servicios de Limpieza",ondaverdeservicios.com.ar,08002206632,"https://www.google.com/maps/place/Onda+Verde+-+Fumigaciones,+Desinfecciones,+Limpieza+de+Tanques+de+Agua+y+Servicios+de+Limpieza/@-31.3950831,-64.5230414,11z/data=!4m10!1m2!2m1!1sLimpieza+del+hogar+en+Provincia+Cordoba+centro!3m6!1s0x9432986e10d3191b:0xf3873a574b2bca33!8m2!3d-31.3809162!4d-64.1889777!15sCi5MaW1waWV6YSBkZWwgaG9nYXIgZW4gUHJvdmluY2lhIENvcmRvYmEgY2VudHJvWjAiLmxpbXBpZXphIGRlbCBob2dhciBlbiBwcm92aW5jaWEgY29yZG9iYSBjZW50cm-SARRwZXN0X2NvbnRyb2xfc2VydmljZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNdE0wbFRNVnBuRUFF4AEA!16s%2Fg%2F12ml2yqln?entry=ttu",Limpieza del hogar,Provincia Cordoba centro
173,Limma Servicios,limmaservicios.com,03514283565,"https://www.google.com/maps/place/Limma+Servicios/@-31.3950831,-64.5230414,11z/data=!4m10!1m2!2m1!1sLimpieza+del+hogar+en+Provincia+Cordoba+centro!3m6!1s0x9432a37406067c75:0xa47c3dfb6ff645e!8m2!3d-31.4240559!4d-64.1875309!15sCi5MaW1waWV6YSBkZWwgaG9nYXIgZW4gUHJvdmluY2lhIENvcmRvYmEgY2VudHJvWjAiLmxpbXBpZXphIGRlbCBob2dhciBlbiBwcm92aW5jaWEgY29yZG9iYSBjZW50cm-SARJqYW5pdG9yaWFsX3NlcnZpY2XgAQA!16s%2Fg%2F11jdwz3wg_?entry=ttu",Limpieza del hogar,Provincia Cordoba centro
174,Combo Familiar - Productos de Limpieza,combofamiliar.ola.click,03517625318,"https://www.google.com/maps/place/Combo+Familiar+-+Productos+de+Limpieza/@-31.3950831,-64.5230414,11z/data=!4m10!1m2!2m1!1sLimpieza+del+hogar+en+Provincia+Cordoba+centro!3m6!1s0x9432a34825b58e41:0x770910c6fc5f8d08!8m2!3d-31.4529651!4d-64.200575!15sCi5MaW1waWV6YSBkZWwgaG9nYXIgZW4gUHJvdmluY2lhIENvcmRvYmEgY2VudHJvWjAiLmxpbXBpZXphIGRlbCBob2dhciBlbiBwcm92aW5jaWEgY29yZG9iYSBjZW50cm-SARBob21lX2dvb2RzX3N0b3Jl4AEA!16s%2Fg%2F11ssqkqvxf?entry=ttu",Limpieza del hogar,Provincia Cordoba centro
175,Limpieza Profesional Córdoba,selimeservicios.com.ar,03515232581,"https://www.google.com/maps/place/Limpieza+Profesional+C%C3%B3rdoba/@-31.3950831,-64.5230414,11z/data=!4m10!1m2!2m1!1sLimpieza+del+hogar+en+Provincia+Cordoba+centro!3m6!1s0x943299b689bf373f:0x6319060aa93f23ba!8m2!3d-31.3613136!4d-64.1746372!15sCi5MaW1waWV6YSBkZWwgaG9nYXIgZW4gUHJvdmluY2lhIENvcmRvYmEgY2VudHJvkgEIY2xlYW5lcnPgAQA!16s%2Fg%2F11ckqswz_t?entry=ttu",Limpieza del hogar,Provincia Cordoba centro
177,Crecer Clean,crecerclean.com,0351156661099,"https://www.google.com/maps/place/Crecer+Clean/@-31.3613136,-64.4630283,11z/data=!4m10!1m2!2m1!1sLimpieza+del+hogar+en+Provincia+Cordoba+centro!3m6!1s0x9432a3372f672863:0x4ddf24ed934dc660!8m2!3d-31.4172169!4d-64.1589398!15sCi5MaW1waWV6YSBkZWwgaG9nYXIgZW4gUHJvdmluY2lhIENvcmRvYmEgY2VudHJvWjAiLmxpbXBpZXphIGRlbCBob2dhciBlbiBwcm92aW5jaWEgY29yZG9iYSBjZW50cm-SAQhjbGVhbmVyc5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOSGRuSlVNbWhuUlJBQuABAA!16s%2Fg%2F11rxmgfw52?entry=ttu",Limpieza del hogar,Provincia Cordoba centro
178,Easy,easy.com.ar,08109993279,"https://www.google.com/maps/place/Easy/@-34.4462858,-59.1588493,11z/data=!4m10!1m2!2m1!1sLimpieza+del+hogar+en+Provincia+Cordoba+centro!3m6!1s0x95bc9c56576fefdb:0x849ec443ca36cfd9!8m2!3d-34.4462858!4d-58.8704582!15sCi5MaW1waWV6YSBkZWwgaG9nYXIgZW4gUHJvdmluY2lhIENvcmRvYmEgY2VudHJvWjAiLmxpbXBpZXphIGRlbCBob2dhciBlbiBwcm92aW5jaWEgY29yZG9iYSBjZW50cm-SARBob21lX2dvb2RzX3N0b3JlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVIzZEVwcFJVdDNFQUXgAQA!16s%2Fg%2F1hc1k1cl2?entry=ttu",Limpieza del hogar,Provincia Cordoba centro
179,Limpimas - Limpieza,limpimas.com.ar,03514668630,"https://www.google.com/maps/place/Limpimas+-+Limpieza/@-31.4422165,-64.5387479,11z/data=!4m10!1m2!2m1!1sLimpieza+del+hogar+en+Provincia+Cordoba+centro!3m6!1s0x9432988445ed6453:0xe0e75b4502a1f93b!8m2!3d-31.4422165!4d-64.2503568!15sCi5MaW1waWV6YSBkZWwgaG9nYXIgZW4gUHJvdmluY2lhIENvcmRvYmEgY2VudHJvkgEIY2xlYW5lcnPgAQA!16s%2Fg%2F1xgrp0cj?entry=ttu",Limpieza del hogar,Provincia Cordoba centro
