name,website,reviews_score,reviews_amount,phone,googlemaps_link,category,zone
José Luis Heredia  Abogados Asoc,,5.0,1,2664790814,"https://www.google.com/maps/place/Jos%C3%A9+Luis+Heredia+%26+Abogados+Asoc/@-33.3001517,-66.3722558,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d43953a1c6739b:0x436b8f0f15f19b12!8m2!3d-33.2987343!4d-66.3350894!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzkgEJYmFycmlzdGVy4AEA!16s%2Fg%2F11g_0hfwj?entry=ttu",Abogado,san luis
ESTUDIO JURIDICO OLIVERA AGUIRRE,,4.5,17,2664552856,"https://www.google.com/maps/place/ESTUDIO+JURIDICO+OLIVERA+AGUIRRE/@-33.3001517,-66.3722558,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d43ea45c4bccef:0x1a7874f474bba57c!8m2!3d-33.2956899!4d-66.3155756!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzkgEIbGF3X2Zpcm3gAQA!16s%2Fg%2F11g817k6l9?entry=ttu",Abogado,san luis
Rocha  Nobile abogados,,5.0,1,2664484812,"https://www.google.com/maps/place/Rocha+%26+Nobile+abogados/@-33.2956899,-66.3516245,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d4395314bfcb83:0x7a370eaa762b06d5!8m2!3d-33.3050772!4d-66.3413721!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzkgEGbGF3eWVy4AEA!16s%2Fg%2F11tjhrnftt?entry=ttu",Abogado,san luis
JOSE GUILLEN - ABOGADO,,,,2664201362,"https://www.google.com/maps/place/JOSE+GUILLEN+-+ABOGADO/@-33.3050772,-66.377421,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d43ba181b63c5b:0xe227409815be2479!8m2!3d-33.3064267!4d-66.3320415!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzkgEJYmFycmlzdGVy4AEA!16s%2Fg%2F11qbr7rv2y?entry=ttu",Abogado,san luis
CANGIANO - ABOGADOS,,4.9,13,2665035190,"https://www.google.com/maps/place/CANGIANO+-+ABOGADOS/@-33.3050772,-66.377421,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d43f57b8016775:0x2a430ab410f5c1bd!8m2!3d-33.3030941!4d-66.3297189!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzkgEIbGF3X2Zpcm3gAQA!16s%2Fg%2F11gpnfdz21?entry=ttu",Abogado,san luis
Estudio Jurídico PÉRSICO,estudiopersico.wordpress.com,5.0,6,2664213434,"https://www.google.com/maps/place/Estudio+Jur%C3%ADdico+P%C3%89RSICO/@-33.3030941,-66.3657678,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d43fb88e173f97:0x5e7bc46825f72c43!8m2!3d-33.3006485!4d-66.3266785!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzWhUiE2Fib2dhZG8gZW4gc2FuIGx1aXOSARlnZW5lcmFsX3ByYWN0aWNlX2F0dG9ybmV54AEA!16s%2Fg%2F11jg5vhq_1?entry=ttu",Abogado,san luis
ROC abogados,rocabogados.ar,5.0,10,2664309293,"https://www.google.com/maps/place/ROC+abogados/@-33.3006485,-66.3627274,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d4394c5394e30d:0x2e35ab4ffb895ac9!8m2!3d-33.298206!4d-66.3405777!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzWhUiE2Fib2dhZG8gZW4gc2FuIGx1aXOSAQZsYXd5ZXKaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTXhibU5ZTFdOQkVBReABAA!16s%2Fg%2F11lkc_l7xc?entry=ttu",Abogado,san luis
Colegio de Abogados y Procuradores San Luis,,4.5,33,2664425260,"https://www.google.com/maps/place/Colegio+de+Abogados+y+Procuradores+San+Luis/@-33.298206,-66.3766266,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d43bdd6b09893b:0x7e2dcb8af215f2a7!8m2!3d-33.3064212!4d-66.3335029!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzkgEGbGF3eWVy4AEA!16s%2Fg%2F11qmbc0plv?entry=ttu",Abogado,san luis
Estudio Juridico AE,,5.0,5,2664688668,"https://www.google.com/maps/place/Estudio+Juridico+AE/@-33.298206,-66.3766266,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d43b573ab04a49:0xd51ee61adb48843f!8m2!3d-33.3101032!4d-66.333689!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzkgEGbGF3eWVy4AEA!16s%2Fg%2F11rd_y242v?entry=ttu",Abogado,san luis
ABOGADOS SAN LUIS: ESTUDIO JURÍDICO GATICA  ASOCIADOS,estudio-gatica.com.ar,5.0,4,2664408946,"https://www.google.com/maps/place/ABOGADOS+SAN+LUIS:+ESTUDIO+JUR%C3%8DDICO+GATICA+%26+ASOCIADOS/@-33.298206,-66.3766266,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d43bffc05a841b:0x9f370c03f3d418b6!8m2!3d-33.3063469!4d-66.3337087!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzkgEbcGFyYWxlZ2FsX3NlcnZpY2VzX3Byb3ZpZGVy4AEA!16s%2Fg%2F11ckqmn7mq?entry=ttu",Abogado,san luis
Estudio Jurídico Prestigio,,4.9,13,2664338825,"https://www.google.com/maps/place/Estudio+Jur%C3%ADdico+Prestigio/@-33.298206,-66.3766266,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d439a546831c59:0xea8aca8c8dc321a1!8m2!3d-33.2948657!4d-66.337341!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzWhUiE2Fib2dhZG8gZW4gc2FuIGx1aXOSAQZsYXd5ZXLgAQA!16s%2Fg%2F11qg7wxnhr?entry=ttu",Abogado,san luis
Estudio Varela  ASOC,,,,2664770373,"https://www.google.com/maps/place/Estudio+Varela+%26+ASOC/@-33.298206,-66.3766266,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d43981858fcbfd:0xd19de770dd5eebb5!8m2!3d-33.3008439!4d-66.3328784!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzkgEGbGF3eWVy4AEA!16s%2Fg%2F11l38b5wrg?entry=ttu",Abogado,san luis
Estudio Jurídico Dr. Escudero,,,,2664757160,"https://www.google.com/maps/place/Estudio+Jur%C3%ADdico+Dr.+Escudero/@-33.3008439,-66.3689273,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d43b2a3ff57f41:0xe70b7b4e57ec38f7!8m2!3d-33.3060353!4d-66.335047!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzkgEZZ2VuZXJhbF9wcmFjdGljZV9hdHRvcm5leeABAA!16s%2Fg%2F11spp21xx4?entry=ttu",Abogado,san luis
Estudio Agundez Abogados,estudioagundezabogados.com,4.9,19,266154315301,"https://www.google.com/maps/place/Estudio+Agundez+Abogados/@-33.3008439,-66.3689273,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d43ba06965d43f:0xee59655a3148dd9e!8m2!3d-33.310437!4d-66.3339281!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzWhUiE2Fib2dhZG8gZW4gc2FuIGx1aXOSAQZsYXd5ZXKaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTnNkWFZsTUhCQlJSQULgAQA!16s%2Fg%2F11vdkk3lpq?entry=ttu",Abogado,san luis
Estudio Juridico ABOGANDO SL - sede San Luis,,,,2665039966,"https://www.google.com/maps/place/Estudio+Juridico+ABOGANDO+SL+-+sede+San+Luis/@-33.3008439,-66.3689273,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d43b4c68a789e1:0x4cd8738b1600dfc1!8m2!3d-33.3075027!4d-66.3334828!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzkgEGbGF3eWVy4AEA!16s%2Fg%2F11lcxbk0g4?entry=ttu",Abogado,san luis
ESTUDIO JURIDICO Y PREVISIONAL PENNA  ASOC.,,5.0,3,2664430841,"https://www.google.com/maps/place/ESTUDIO+JURIDICO+Y+PREVISIONAL+PENNA+%26+ASOC./@-33.3008439,-66.3689273,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d4394cc27c4f07:0xe9ff48bdc228b8d0!8m2!3d-33.3027507!4d-66.3330812!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzWhUiE2Fib2dhZG8gZW4gc2FuIGx1aXOSAQliYXJyaXN0ZXLgAQA!16s%2Fg%2F11fklbjhh4?entry=ttu",Abogado,san luis
Estudio Clebot Guasconi  Asoc,,5.0,1,266155100850,"https://www.google.com/maps/place/Estudio+Clebot+Guasconi+%26+Asoc/@-33.3008439,-66.3689273,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d43bd602f13d65:0x33cef0c1f5c76336!8m2!3d-33.3063842!4d-66.3361931!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzkgEYbGFib3JfcmVsYXRpb25zX2F0dG9ybmV54AEA!16s%2Fg%2F11j4xvnhrv?entry=ttu",Abogado,san luis
Pagano y Asociados Estudio de Abogados,,,,,"https://www.google.com/maps/place/Pagano+y+Asociados+Estudio+de+Abogados/@-33.3008439,-66.3689273,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d43bfe4b4aaf7b:0x851ed57d54b29c7e!8m2!3d-33.3069788!4d-66.3348161!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzkgEGbGF3eWVy4AEA!16s%2Fg%2F1tlkdkfp?entry=ttu",Abogado,san luis
Estudio Juridico Savino Cynthia Lorena,,2.0,1,,"https://www.google.com/maps/place/Estudio+Juridico+Savino+Cynthia+Lorena/@-33.3008439,-66.3689273,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d43ea92737383d:0x414e18d2af26eaf1!8m2!3d-33.2987301!4d-66.3242002!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzkgEGbGF3eWVy4AEA!16s%2Fg%2F1hc8b9ljm?entry=ttu",Abogado,san luis
Estudio Zavala Agüero,,5.0,7,2664306530,"https://www.google.com/maps/place/Estudio+Zavala+Ag%C3%BCero/@-33.2987301,-66.3602491,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d43f12d1246b4f:0x4993d5ed80a3580a!8m2!3d-33.2982111!4d-66.3225295!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzkgEGbGF3eWVy4AEA!16s%2Fg%2F11ts9qwtlh?entry=ttu",Abogado,san luis
Estudio Juridico Fernando Ariel Ofria,,,,2664652073,"https://www.google.com/maps/place/Estudio+Juridico+Fernando+Ariel+Ofria/@-33.2987301,-66.3602491,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d439543c06519d:0xbb155096bbc2a0d3!8m2!3d-33.3007299!4d-66.3334037!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzkgEGbGF3eWVy4AEA!16s%2Fg%2F11bbrjvq41?entry=ttu",Abogado,san luis
ESTUDIO JURÍDICO POLICASTRO  ASOCIADOS.,,5.0,3,2664851075,"https://www.google.com/maps/place/ESTUDIO+JUR%C3%8DDICO+POLICASTRO+%26+ASOCIADOS./@-33.3007299,-66.3694526,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d43bfe17fb5085:0x15bce0bd08e896e6!8m2!3d-33.3103655!4d-66.3398695!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzWhUiE2Fib2dhZG8gZW4gc2FuIGx1aXOSAQZsYXd5ZXLgAQA!16s%2Fg%2F1hc8wwdnt?entry=ttu",Abogado,san luis
Bufete de Abogados Ponce Bertomeu,,,,2664682853,"https://www.google.com/maps/place/Bufete+de+Abogados+Ponce+Bertomeu/@-33.3103655,-66.3759184,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d439bdd6cc3b85:0x27d8a963b15e6bb8!8m2!3d-33.3053941!4d-66.3408234!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzkgETZW1wbG95bWVudF9hdHRvcm5leeABAA!16s%2Fg%2F11h0n7ptzp?entry=ttu",Abogado,san luis
Escribanía Miranda  Abogados,,5.0,3,2664402177,"https://www.google.com/maps/place/Escriban%C3%ADa+Miranda+%26+Abogados/@-33.3103655,-66.3759184,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d43eab60de3b07:0x85375aea6766355b!8m2!3d-33.2995129!4d-66.3302674!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzWhUiE2Fib2dhZG8gZW4gc2FuIGx1aXOSAQ1ub3RhcnlfcHVibGlj4AEA!16s%2Fg%2F11gzn1417?entry=ttu",Abogado,san luis
Estudio Juridico Frias  Asoc.,,4.7,6,2664338333,"https://www.google.com/maps/place/Estudio+Juridico+Frias+%26+Asoc./@-33.2995129,-66.3663163,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d43c002713fb9b:0x5364890f94cc413d!8m2!3d-33.3046132!4d-66.3300313!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzkgEIbGF3X2Zpcm3gAQA!16s%2Fg%2F11f3rzgstt?entry=ttu",Abogado,san luis
Acevedo Carlos Alberto,,4.5,2,,"https://www.google.com/maps/place/Acevedo+Carlos+Alberto/@-33.2995129,-66.3663163,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d4395688f72de3:0x9acbc6032733a674!8m2!3d-33.303394!4d-66.3386667!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzkgEGbGF3eWVy4AEA!16s%2Fg%2F1vxcxm0v?entry=ttu",Abogado,san luis
Bufete de Abogados Ponce Bertomeu,,,,26644682853,"https://www.google.com/maps/place/Bufete+de+Abogados+Ponce+Bertomeu/@-33.303394,-66.3747156,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d43bffc07836c7:0x6baec3c3d44399e7!8m2!3d-33.3066011!4d-66.3335319!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzkgETZW1wbG95bWVudF9hdHRvcm5leeABAA!16s%2Fg%2F11ggz6t363?entry=ttu",Abogado,san luis
Lisandro Bogut Salcedo,,,,111532565536,"https://www.google.com/maps/place/Lisandro+Bogut+Salcedo/@-33.303394,-66.3747156,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d4395a987358a7:0x7e8c41907af35751!8m2!3d-33.2976569!4d-66.3096657!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzkgEGbGF3eWVy4AEA!16s%2Fg%2F11g01rs49l?entry=ttu",Abogado,san luis
Estudio Juridico Pereira DAngelo Rodriguez,,,,2664455830,"https://www.google.com/maps/place/Estudio+Juridico+Pereira+D'Angelo+Rodriguez/@-33.2976569,-66.3457146,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d439543c06519d:0xd9fba936ef1e8923!8m2!3d-33.3017538!4d-66.3378407!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzkgEGbGF3eWVy4AEA!16s%2Fg%2F11bbrlm65q?entry=ttu",Abogado,san luis
ESTUDIO JURIDICO DI GENNARO  ASOCIADOS,,,,2664654637,"https://www.google.com/maps/place/ESTUDIO+JURIDICO+DI+GENNARO+%26+ASOCIADOS/@-33.3017538,-66.3738896,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d43bd305ed8755:0xe918c08fc29b6c3f!8m2!3d-33.3083851!4d-66.3330886!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzkgEIbGF3X2Zpcm3gAQA!16s%2Fg%2F11t7j04l26?entry=ttu",Abogado,san luis
PSM Estudio Jurídico  Contable,,,,2664034971,"https://www.google.com/maps/place/PSM+Estudio+Jur%C3%ADdico+%26+Contable/@-33.3017538,-66.3738896,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d439af1f57231b:0x2d8f9deb2807be05!8m2!3d-33.3055321!4d-66.3431244!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzkgEJYmFycmlzdGVy4AEA!16s%2Fg%2F11fmrqhf22?entry=ttu",Abogado,san luis
ESTUDIO JURIDICO GATICA Y ASOCIADOS,estudio-gatica.com.ar,,,2664870760,"https://www.google.com/maps/place/ESTUDIO+JURIDICO+GATICA+Y+ASOCIADOS/@-33.3017538,-66.3738896,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d43b61121d5f05:0xca82341a5288e7cc!8m2!3d-33.2976569!4d-66.3096657!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzWhUiE2Fib2dhZG8gZW4gc2FuIGx1aXOSARlnZW5lcmFsX3ByYWN0aWNlX2F0dG9ybmV54AEA!16s%2Fg%2F11v015p2l0?entry=ttu",Abogado,san luis
Estudio del Dr Nieto y la Dra Silvestre,,4.0,1,,"https://www.google.com/maps/place/Estudio+del+Dr+Nieto+y+la+Dra+Silvestre/@-33.2976569,-66.3457146,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d43bff98b8797b:0xb81ddf1321cb6a2f!8m2!3d-33.3074214!4d-66.333448!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzkgEGbGF3eWVy4AEA!16s%2Fg%2F1tcvqgg7?entry=ttu",Abogado,san luis
Estudio juridico dra. Martinuk,,,,2664403004,"https://www.google.com/maps/place/Estudio+juridico+dra.+Martinuk/@-33.3074214,-66.3694969,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d43ba226689d59:0xbd8c495076cc90e0!8m2!3d-33.3099825!4d-66.3340872!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzkgEGbGF3eWVy4AEA!16s%2Fg%2F11tw_09t5f?entry=ttu",Abogado,san luis
Federico Farias  Asoc. Estudio Jurídico,,5.0,3,2664853343,"https://www.google.com/maps/place/Federico+Farias+%26+Asoc.+Estudio+Jur%C3%ADdico/@-33.3074214,-66.3694969,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d43b9838ac4cc7:0x7a5bbb22835f7668!8m2!3d-33.3078577!4d-66.3337159!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzkgEObGVnYWxfc2VydmljZXPgAQA!16s%2Fg%2F11q3kxlm73?entry=ttu",Abogado,san luis
Estudio Juridico VignaleAsoc,,5.0,1,2665250751,"https://www.google.com/maps/place/Estudio+Juridico+Vignale%26Asoc/@-33.3074214,-66.3694969,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d4397cbba9a17d:0x45da05bc6fb85d79!8m2!3d-33.2945741!4d-66.3359324!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzkgEZZ2VuZXJhbF9wcmFjdGljZV9hdHRvcm5leeABAA!16s%2Fg%2F11rzxlhhp2?entry=ttu",Abogado,san luis
Estudio Cerioni Valsecchi - Contadores Abogados,ceval.com.ar,,,2664713526,"https://www.google.com/maps/place/Estudio+Cerioni+Valsecchi+-+Contadores+Abogados/@-33.3074214,-66.3694969,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d43bf8e81af84b:0x954bf0142549d127!8m2!3d-33.3082064!4d-66.3360941!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzWhUiE2Fib2dhZG8gZW4gc2FuIGx1aXOSAQZsYXd5ZXLgAQA!16s%2Fg%2F11j97xgwr2?entry=ttu",Abogado,san luis
Laborda Ibarra y Asociados - Escribanos y Abogados,,,,2664441619,"https://www.google.com/maps/place/Laborda+Ibarra+y+Asociados+-+Escribanos+y+Abogados/@-33.3074214,-66.3694969,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d43bb60e433c51:0x164bf4d78555d522!8m2!3d-33.3055843!4d-66.3348135!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzkgENbm90YXJ5X3B1YmxpY-ABAA!16s%2Fg%2F11t9c_pdvf?entry=ttu",Abogado,san luis
Estudio Juridico Laboral,,,,2664410621,"https://www.google.com/maps/place/Estudio+Juridico+Laboral/@-33.3074214,-66.3694969,14z/data=!4m10!1m2!2m1!1sAbogado+en+san+luis!3m6!1s0x95d43f2eb248898d:0xeaba620cda14f5eb!8m2!3d-33.2985576!4d-66.3163738!15sChNBYm9nYWRvIGVuIHNhbiBsdWlzkgEYbGFib3JfcmVsYXRpb25zX2F0dG9ybmV54AEA!16s%2Fg%2F11y2jr7d6x?entry=ttu",Abogado,san luis
